ORDERNUMBER,QUANTITYORDERED,DEALSIZE,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,RESULT,PRODUCTCODE,TERRITORY,COUNTRY,CITY,CUSTOMERID,CUSTOMERNAME,ADDRESSLINE1
10107,30,Small,95.7,2,2871,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,95,NO,S10_1678,NA,USA,NYC,C0001,Land of Toys Inc.,897 Long Airport Avenue
10121,34,Small,81.35,5,2765.9,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles,95,NO,S10_1678,EMEA,France,Reims,C0002,Reims Collectables,59 rue de l'Abbaye
10134,41,Medium,94.74,2,3884.34,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,95,YES,S10_1678,EMEA,France,Paris,C0003,Lyon Souveniers,27 rue du Colonel Pierre Avia
10145,45,Medium,83.26,6,3746.7,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,95,YES,S10_1678,NA,USA,Pasadena,C0004,Toys4GrownUps.com,78934 Hillside Dr.
10159,49,Medium,100,14,5205.27,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,95,YES,S10_1678,NA,USA,San Francisco,C0005,Corporate Gift Ideas Co.,7734 Strong St.
10168,36,Medium,96.66,1,3479.76,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,95,YES,S10_1678,NA,USA,Burlingame,C0006,Technics Stores Inc.,9408 Furth Circle
10180,29,Small,86.13,9,2497.77,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,95,NO,S10_1678,EMEA,France,Lille,C0007,Daedalus Designs Imports,"184, chausse de Tournai"
10188,48,Medium,100,1,5512.32,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,95,YES,S10_1678,EMEA,Norway,Bergen,C0008,Herkku Gifts,"Drammen 121, PR 744 Sentrum"
10201,22,Small,98.57,2,2168.54,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,95,NO,S10_1678,NA,USA,San Francisco,C0009,Mini Wheels Co.,5557 North Pendale Street
10211,41,Medium,100,14,4708.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,95,YES,S10_1678,EMEA,France,Paris,C0010,Auto Canal Petit,"25, rue Lauriston"
10223,37,Medium,100,1,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,95,YES,S10_1678,APAC,Australia,Melbourne,C0011,"Australian Collectors, Co.",636 St Kilda Road
10237,23,Small,100,7,2333.12,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,95,NO,S10_1678,NA,USA,NYC,C0012,Vitachrome Inc.,2678 Kingston Rd.
10251,28,Medium,100,2,3188.64,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,95,YES,S10_1678,NA,USA,Newark,C0013,Tekni Collectables Inc.,7476 Moss Rd.
10263,34,Medium,100,2,3676.76,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,95,YES,S10_1678,NA,USA,Bridgewater,C0014,Gift Depot Inc.,25593 South Bay Ln.
10275,45,Medium,92.83,1,4177.35,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,95,YES,S10_1678,EMEA,France,Nantes,C0015,La Rochelle Gifts,"67, rue des Cinquante Otages"
10285,36,Medium,100,6,4099.68,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,95,YES,S10_1678,NA,USA,Cambridge,C0016,Marta's Replicas Co.,39323 Spinnaker Dr.
10299,23,Small,100,9,2597.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,95,NO,S10_1678,EMEA,Finland,Helsinki,C0017,"Toys of Finland, Co.",Keskuskatu 45
10309,41,Medium,100,5,4394.38,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,95,YES,S10_1678,EMEA,Norway,Stavern,C0018,Baane Mini Imports,Erling Skakkes gate 78
10318,46,Medium,94.74,1,4358.04,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,95,YES,S10_1678,NA,USA,Allentown,C0019,Diecast Classics Inc.,7586 Pompton St.
10329,42,Medium,100,1,4396.14,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,95,YES,S10_1678,NA,USA,NYC,C0020,Land of Toys Inc.,897 Long Airport Avenue
10341,41,Large,100,9,7737.93,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,95,YES,S10_1678,EMEA,Austria,Salzburg,C0021,Salzburg Collectables,Geislweg 14
10361,20,Small,72.55,13,1451,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,95,NO,S10_1678,APAC,Australia,Chatswood,C0022,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy"
10375,21,Small,34.91,12,733.11,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles,95,NO,S10_1678,EMEA,France,Nantes,C0023,La Rochelle Gifts,"67, rue des Cinquante Otages"
